Title,Link,keywords,publicationDate,authors,publication,abstract
Mice in Bion-M 1 space mission: training and selection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136787/,"['Mice', 'Iss', 'Space']",2023-06-12,['Dr. Richard Chen'],International Journal of Space Biology,This research paper investigates mice in bion-m 1 space mission: training and selection. The results have implications for long-duration space missions.
"Microgravity induces pelvic bone loss through osteoclastic activity, osteocytic osteolysis, and osteoblastic cell cycle inhibition by CDKN1a/p21",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3630201/,"['Cell', 'Microgravity', 'Bone']",2022-06-22,"['Dr. Ben Carter', 'Dr. David Kim', 'Dr. Elena Petrov', 'Dr. Catherine Martinez']",Journal of Exobiology,"This research paper investigates microgravity induces pelvic bone loss through osteoclastic activity, osteocytic osteolysis, and osteoblastic cell cycle inhibition by cdkn1a/p21. The results have implications for long-duration space missions."
Stem Cell Health and Tissue Regeneration in Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11988870/,"['Regeneration', 'Cell', 'Gene', 'Iss', 'Rat', 'Microgravity', 'Tissue']",2020-10-30,['Dr. Richard Chen'],Gravitational and Space Research,This research paper investigates stem cell health and tissue regeneration in microgravity. The results have implications for long-duration space missions.
Microgravity Reduces the Differentiation and Regenerative Potential of Embryonic Stem Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7998608/,"['Cell', 'Microgravity', 'Gene', 'Rat']",2022-02-10,"['Dr. Elena Petrov', 'Dr. Richard Chen', 'Dr. Samuel Jones', 'Dr. Jian Li']",Journal of Exobiology,This research paper investigates microgravity reduces the differentiation and regenerative potential of embryonic stem cells. The research supports development of countermeasures for space travel.
Microgravity validation of a novel system for RNA isolation and multiplex quantitative real time PCR analysis of gene expression on the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5587110/,"['International Space Station', 'Microgravity', 'Gene', 'Space']",2022-08-06,"['Dr. Eva Rostova', 'Dr. Aisha Khan', 'Dr. Elena Petrov']",Microgravity Science and Technology,This research paper investigates microgravity validation of a novel system for rna isolation and multiplex quantitative real time pcr analysis of gene expression on the international space station. The results have implications for long-duration space missions.
Spaceflight Modulates the Expression of Key Oxidative Stress and Cell Cycle Related Genes in Heart,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8396460/,"['Heart', 'Space', 'Stress', 'Cell', 'Gene', 'Oxidative', 'Spaceflight']",2023-11-23,"['Dr. Jennifer Lee', 'Dr. Michael Brown', 'Dr. Ben Carter']",Space Medicine Review,This research paper investigates spaceflight modulates the expression of key oxidative stress and cell cycle related genes in heart. The research supports development of countermeasures for space travel.
Dose- and Ion-Dependent Effects in the Oxidative Stress Response to Space-Like Radiation Exposure in the Skeletal System,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5666799/,"['Radiation', 'Oxidative', 'Stress', 'Space']",2021-11-18,"['Dr. Thomas Anderson', 'Dr. Jennifer Lee']",Gravitational and Space Research,This research paper investigates dose- and ion-dependent effects in the oxidative stress response to space-like radiation exposure in the skeletal system. This work advances our knowledge of biological responses to microgravity.
From the bench to exploration medicine: NASA life sciences translational research for human exploration and habitation missions.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5460236/,"['Human', 'Iss', 'Rat']",2020-05-11,['Dr. Aisha Khan'],Gravitational and Space Research,This research paper investigates from the bench to exploration medicine: nasa life sciences translational research for human exploration and habitation missions.. Our findings contribute to understanding adaptation in space environments.
High-precision method for cyclic loading of small-animal vertebrae to assess bone quality.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6222041/,['Bone'],2020-05-13,['Dr. Jennifer Lee'],Space Life Sciences,This research paper investigates high-precision method for cyclic loading of small-animal vertebrae to assess bone quality.. Our findings contribute to understanding adaptation in space environments.
Effects of ex vivo ionizing radiation on collagen structure and whole-bone mechanical properties of mouse vertebrae.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6813909/,"['Mouse', 'Bone', 'Radiation']",2021-09-06,"['Dr. David Kim', 'Dr. Sarah Wilson']",Space Life Sciences,This research paper investigates effects of ex vivo ionizing radiation on collagen structure and whole-bone mechanical properties of mouse vertebrae.. The study provides new insights into the biological mechanisms involved.
Absence of gamma-sarcoglycan alters the response of p70S6 kinase to mechanical perturbation in murine skeletal muscle,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4095884/,['Muscle'],2024-09-05,"['Dr. Catherine Martinez', 'Dr. David Kim', 'Dr. Michael Brown', 'Dr. Sarah Wilson']",Radiation Research,This research paper investigates absence of gamma-sarcoglycan alters the response of p70s6 kinase to mechanical perturbation in murine skeletal muscle. The results have implications for long-duration space missions.
AtRabD2b and AtRabD2c have overlapping functions in pollen development and pollen tube growth.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3040128/,"['Growth', 'Development']",2022-06-13,"['Dr. Amanda Taylor', 'Dr. Michael Brown']",Life Support & Space Habitation,This research paper investigates atrabd2b and atrabd2c have overlapping functions in pollen development and pollen tube growth.. This work advances our knowledge of biological responses to microgravity.
TNO1 is involved in salt tolerance and vacuolar trafficking in Arabidopsis.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3177255/,['Arabidopsis'],2024-12-20,"['Dr. Richard Chen', 'Dr. Aisha Khan', 'Dr. Ben Carter']",Space Life Sciences,This research paper investigates tno1 is involved in salt tolerance and vacuolar trafficking in arabidopsis.. Our findings contribute to understanding adaptation in space environments.
Functional redundancy between trans-Golgi network SNARE family members in Arabidopsis thaliana.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11500582/,['Arabidopsis'],2023-12-18,"['Dr. Richard Chen', 'Dr. Michael Brown', 'Dr. Sofia Rossi']",Space Medicine Review,This research paper investigates functional redundancy between trans-golgi network snare family members in arabidopsis thaliana.. The study provides new insights into the biological mechanisms involved.
